id	filename	md5	size	state
2b1d6638-5080-4312-86f4-77659c25d896	58c881aa-862d-4237-bc98-48189938c973.htseq.counts.gz	c4dbf95249bcda4da0224c619ddb1a42	253188	validated
2b27cab7-a4a1-45d4-93e7-68db544c260d	0ab93cce-69b2-4ef6-ba1e-954d8b93d239.htseq.counts.gz	48d8b7cae41db75fa6054e08bf1b5057	255873	validated
2c2639b5-30d5-4c56-9a70-07783134b7bf	17f7beb3-824b-410a-8a16-dadd093c27cf.htseq.counts.gz	45f26d6500a6a020ddd0329d7c47df02	248278	validated
2cfa7bd2-5cf3-49aa-a39a-afe52974ae21	74fe7db4-f077-42ab-8f5f-1bb4fee82c60.htseq.counts.gz	f52ebb1d254352d94b710608e45f5a91	249284	validated
2e83615e-aa07-44dd-9d57-1d3a6e968af8	9e6200b1-a5b3-4498-a678-21046585bbb8.htseq.counts.gz	f7034e519299a222a9ceb4c279fa02c6	250941	validated
2ebebeec-6c02-49c2-b004-232955069b10	f3476c44-9c80-431c-8b7e-26cc4fa32617.htseq.counts.gz	56cfaa6c8657d9bd3881058e75966dae	250352	validated
2edc9e3d-f34a-490e-8027-04bd4066ef15	2ccd1f71-c646-4c89-81ab-2866d943d29d.htseq.counts.gz	88f37a6294d5a95cb541b04dee51ddad	252730	validated
30141c1d-9b20-482a-a2d0-22ceb844c61d	9bb89fc4-2f77-45a3-973d-db09f5a6f8e6.htseq.counts.gz	fe05e404248bbcbc51ae757466657785	253869	validated
30578caa-2f78-43d2-b2fa-524303e27dde	cb63a600-d3f5-4a9c-920b-00ce8c54a862.htseq.counts.gz	168abea0ce28ffa86b2ba42d7cc4aca0	253532	validated
309f9349-8bb4-44c8-9be9-cea903395697	972526b8-1599-4047-8415-7ee3ff4c8509.htseq.counts.gz	7de30189f739b8d1b2e37bc5490f1594	247201	validated
30aa8f3b-b03a-40d4-bc65-9ca3caa3edd3	05593b0b-e7f1-40c0-82cb-56e6df829cbe.htseq.counts.gz	56afaa3c0ddebecb8fd8f65e30a9c06a	254474	validated
314dae05-f57e-49f0-98af-65f3697f0b67	245d387e-f08e-4fb0-afe4-0930a159a050.htseq.counts.gz	59f57417949ba3c1b5567643e474c3d3	250375	validated
31842cfc-51d1-444c-ac7b-c5987e765f88	d31a0c1d-efd6-4500-a4ed-172317058add.htseq.counts.gz	149e1ce775314bcecd96ca20a60abe9c	257135	validated
32977f29-cb52-4c04-9145-39ecadbf218d	b94eb3b8-4adf-469a-9398-651f743c19d2.htseq.counts.gz	01902dfefe2698ba7c8ff72601de5ef2	246870	validated
32c95267-20d2-423e-93f6-62b2285c50ee	2056764e-febf-4405-a3f1-ae004a34adc4.htseq.counts.gz	f9e3214ee809fb1ce791ca52d9833bdc	250227	validated
33c2e195-77d9-4764-b039-5370bac2c5e3	e65da476-3338-43a6-9131-a7d124acf483.htseq.counts.gz	08bf41affbff4c4082a49a18b17021fb	260114	validated
34211ab5-800e-480b-8fbd-3cdc7e49ad2b	5579122b-0da5-4673-8d02-63c563a7019d.htseq.counts.gz	7fc7eb8a6c8fae6c4eb88afed2bc977a	251497	validated
3452f81a-4e19-4eb2-9b77-386db3ab5c01	234ab9ae-4cc3-4e0f-ac01-c128411e9907.htseq.counts.gz	ce284d1e107425253875f426d2baf291	251471	validated
35c61e8a-49e1-45ba-ad4c-aaf5e102a3e6	19dfbaac-5975-4eac-ae68-5e84045bac26.htseq.counts.gz	5a96783d19bd66ad189742abeea31509	256085	validated
