,logFC,logCPM,PValue,FDR
LINC01936,-3.76076377832395,4.59650812774194,1.32811203159492e-11,9.16893521515641e-10
MIR202HG,-4.40655195414511,2.30221760627644,1.33392788476022e-11,9.16893521515641e-10
MIR1-1HG-AS1,-4.13956179811216,5.09501869707494,1.62167059629446e-11,1.10463525933175e-09
LAMA4-AS1,-3.6347126107292,3.57213464844001,1.94395268093818e-11,1.31234162683693e-09
LINC02388,-4.40959758679023,2.30109637316706,2.37894799272342e-11,1.59178989141432e-09
CEBPB-AS1,-2.57806698348467,6.71869813428955,3.14207235715635e-11,2.08396570986484e-09
AC147067.2,-3.40453033036593,3.41624436051316,5.9901850278014e-11,3.93841643436578e-09
AC145124.1,-3.35013300258004,4.27258119873896,6.26524357753119e-11,4.08375057669942e-09
LINC00989,-3.99834205450827,3.29331649796656,6.73120093794019e-11,4.34996669160391e-09
LINC02829,-4.02182145791212,2.80897546433806,7.01130203026353e-11,4.49258090261208e-09
SOCS2-AS1,-3.3893035996126,7.62948415213607,7.42302433989457e-11,4.71642748184394e-09
AC026471.2,-2.67414965613259,4.88365217487221,7.79297735840994e-11,4.91022515057813e-09
LINC02310,-4.71939131987622,3.42626549283092,8.83508884486178e-11,5.5208352690909e-09
AC027237.6,-3.21211485673351,3.1069659956146,1.02986966598451e-10,6.38265946271221e-09
AP001363.2,-2.97997000590363,3.95768984423819,1.29833797580229e-10,7.98108409352934e-09
EMX2OS,-4.37267186651697,9.83749159963577,1.88516966570378e-10,1.14949740664405e-08
LINC01352,-3.54233248506009,3.41783009612803,3.01997258323465e-10,1.82672101614698e-08
AC012073.1,3.69900024327908,8.3127448369074,3.70536397818334e-10,2.22351246341621e-08
AP001189.3,-3.5866902914421,4.00829893279124,3.74646359415683e-10,2.2304733256236e-08
EPB41L4A-AS1,-2.18756824253705,10.5208233538005,4.23183425435512e-10,2.49975771852962e-08
MIR100HG,-3.4462709729505,9.60845516762781,5.13587633606352e-10,3.01026054085088e-08
PTPRD-AS1,-4.65459914180635,4.54597238468164,6.73897587537812e-10,3.91949204567184e-08
AC138430.1,-3.61769489751512,2.46647659069916,7.90904238810482e-10,4.5649060684321e-08
AC005070.3,-2.0585740886582,5.68598232127672,9.65555001758441e-10,5.53072830931483e-08
LINC00702,-3.54966286981131,6.22096478472869,1.01510278020455e-09,5.77082114370422e-08
LINC01829,-3.52820055294101,4.17885016328074,1.20698820344206e-09,6.78506892228292e-08
AC012508.2,-4.15989313520665,2.25869672911124,1.21145920448115e-09,6.78506892228292e-08
RAP2C-AS1,-2.31599686781871,6.81772922616979,1.28661659170549e-09,7.15302062491562e-08
NIFK-AS1,-1.59981652239408,8.75847180491953,1.35053048892297e-09,7.42630490762866e-08
CCDC144NL-AS1,-3.83254195952682,7.1942849472227,1.3554160524438e-09,7.42630490762866e-08
AC092802.2,-2.65378701553548,3.91699334126005,1.68108961672901e-09,9.14440186481156e-08
AC026691.1,-2.25724167235228,5.87902125079645,2.04429707224097e-09,1.10406644022957e-07
AL023806.1,-2.46799023074168,3.98914791539179,2.06685881888355e-09,1.10833471840983e-07
AC005165.1,-4.59007971461295,4.28116693781068,2.1617515322162e-09,1.15105657289343e-07
PAN3-AS1,-1.88042937399923,6.68211625260011,2.6097337903889e-09,1.37714332962059e-07
AL031658.1,-3.05368545388928,3.64932895728684,2.62278322266057e-09,1.37714332962059e-07
LOH12CR2,-2.29497298401252,5.98039081886649,3.85924435689448e-09,2.01239631603305e-07
AC027237.5,-2.45415739204991,6.06662804299085,3.93199564800258e-09,2.0362889790786e-07
AC010976.2,-3.23793554510224,4.42002726477246,4.00059037457647e-09,2.05771862735869e-07
AC025809.1,-3.75468230552998,2.81092938414943,4.03177382637142e-09,2.05974607440502e-07
AC092117.1,-2.29421099468579,6.68966168317091,4.30545443455735e-09,2.18480140803276e-07
